NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,accept_mcmc,reject_mcmc,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0
0,1,MCMC,Gibbs,,0,0,-147181.158245912694838,1,0,0.000282384000000,0.000279897000000,0.008082706033324,0.988263134023557,0.039674072216429,0.023228171899139,0.000002753195317,0.098305284785880,0.072273381616694,0.074475259760040,0.075471984314604,0.080757059054484,0.083774758566554,0.083614423832017
0,1,MCMC,Gibbs,,18757,1242,-147180.532590017159237,20000,0,1.695701569000000,1.695490599000000,0.008009294642266,0.988186629833482,0.039721550885041,0.023284221718863,0.000002712030616,0.098362240498571,0.072317620778707,0.074214552021206,0.075694514521483,0.080699820141300,0.083942341963312,0.083644010681167
0,1,MCMC,Gibbs,,35516,4483,-147177.674564603948966,40000,0,3.348636247000000,3.343248492000000,0.007983279391664,0.988282411821854,0.040074175564288,0.022864484905137,0.000002663472719,0.098453774068501,0.072343475189887,0.074347566418484,0.075650795054531,0.080790177182897,0.083998211981716,0.083798114498656
0,1,MCMC,Gibbs,,50092,9907,-147177.530951479537180,60000,0,4.957658972000000,4.952181950000000,0.007968664856422,0.988589276939446,0.040516617367967,0.023679635571562,0.000002600726228,0.098577458319218,0.072379114359151,0.073594122040081,0.076383923808640,0.080704552248563,0.083900055757730,0.083799547253520
0,1,MCMC,Gibbs,,63114,16885,-147176.518145178415580,80000,0,6.573456870000000,6.567351374000000,0.008144022066544,0.986708924866313,0.041108929941022,0.023248683482243,0.000002495191416,0.098668626527051,0.072201306795777,0.073814525052783,0.075686607291880,0.080623557338799,0.083779156483245,0.083402516677533
0,1,MCMC,Gibbs,,74723,25276,-147177.979327781940810,100000,0,8.199871290000001,8.192405837000001,0.008122558748292,0.984580739300103,0.040747916843738,0.023477379310769,0.000002678080132,0.098220897420289,0.071989484273534,0.073656126318608,0.075697856598513,0.080335235725363,0.083484019184756,0.083268390097460
0,1,MCMC,Gibbs,,85703,34296,-147181.222052970930235,120000,0,9.832581745000001,9.822780012000001,0.007996890822259,0.984984157685917,0.039963118571964,0.023836188827635,0.000002685057481,0.098211037851985,0.072053747075556,0.074020727408433,0.075472446804992,0.080480357858001,0.083540563312377,0.083401373120983
0,1,MCMC,Gibbs,,96201,43798,-147178.753061150986468,140000,0,11.455677190000001,11.445819645000000,0.008149263532396,0.985823516714071,0.039073309244357,0.023353567156113,0.000002654766194,0.098329307013140,0.072075828503936,0.073698296385328,0.075837001067391,0.080369712729064,0.083534148179908,0.083289358360115
0,1,MCMC,Gibbs,,106521,53478,-147176.001906343619339,160000,0,13.084691330000000,13.074770874000000,0.008160336372208,0.984196196045148,0.040050117119645,0.022904028254444,0.000002668145044,0.098175853010096,0.072034617890892,0.073401255661012,0.075607010741310,0.080475845534078,0.083514659674963,0.083221553432899
0,1,MCMC,Gibbs,,116621,63378,-147177.099396057485137,180000,0,14.737383155000002,14.727422067999999,0.008050183724590,0.983862041635523,0.040987909303777,0.023912010446860,0.000002609795370,0.098277251760533,0.071969828229937,0.073959466168965,0.075161636136917,0.080484132247073,0.083465146212524,0.083127265489479
0,1,MCMC,Gibbs,,126781,73218,-147176.715479414648144,200000,0,16.327938733000000,16.317951421000000,0.008085384367473,0.982362233420733,0.039039294357429,0.023155792423058,0.000002493149444,0.098365601068666,0.071871272450233,0.073503006956204,0.075338267152681,0.080192765181945,0.083434023443589,0.082985855397921
0,1,MCMC,Gibbs,,136991,83008,-147173.139832828077488,220000,0,17.938581609000000,17.928543980000001,0.008290642306053,0.985193094932025,0.039433787556414,0.023603046927823,0.000002351468859,0.098888242476823,0.071879687771279,0.073903545203408,0.075193559136534,0.080303002202379,0.083260002584290,0.083044878830249
0,1,MCMC,Gibbs,,147051,92948,-147169.864910009637242,240000,0,19.580121062000000,19.569977949999998,0.008280601789144,0.985080989736500,0.039780479689088,0.022178069850677,0.000002254753829,0.099072846229010,0.071990461685322,0.073820964521475,0.075186994979088,0.080551212932576,0.083368615268340,0.083189885797368
